eleccion,iddistrito,distrito,diasparaeleccion,casos100mil,vacunadostot100
PASO,01,CABA,-15,10.7,72
PASO,01,CABA,-14,7.9,72
PASO,01,CABA,-13,9.0,72
PASO,01,CABA,-12,10.6,73
PASO,01,CABA,-11,10.9,73
PASO,01,CABA,-10,10.9,73
PASO,01,CABA,-9,10.6,73
PASO,01,CABA,-8,8.4,73
PASO,01,CABA,-7,5.1,73
PASO,01,CABA,-6,7.2,73
PASO,01,CABA,-5,8.9,73
PASO,01,CABA,-4,7.2,73
PASO,01,CABA,-3,6.8,73
PASO,01,CABA,-2,7.4,73
PASO,01,CABA,-1,5.7,73
PASO,01,CABA,0,4.5,73
PASO,01,CABA,1,6.5,74
PASO,01,CABA,2,7.1,74
PASO,01,CABA,3,6.3,74
PASO,01,CABA,4,6.6,74
PASO,01,CABA,5,5.9,74
PASO,01,CABA,6,5.5,74
PASO,01,CABA,7,3.2,74
PASO,01,CABA,8,4.1,75
PASO,01,CABA,9,4.7,75
PASO,01,CABA,10,4.9,75
PASO,01,CABA,11,4.7,75
PASO,01,CABA,12,5.1,76
PASO,01,CABA,13,4.6,76
PASO,01,CABA,14,3.2,76
PASO,01,CABA,15,2.9,76
PASO,02,Buenos Aires,-15,5.1,62
PASO,02,Buenos Aires,-14,3.0,62
PASO,02,Buenos Aires,-13,6.8,62
PASO,02,Buenos Aires,-12,9.2,62
PASO,02,Buenos Aires,-11,7.5,62
PASO,02,Buenos Aires,-10,6.6,62
PASO,02,Buenos Aires,-9,6.6,62
PASO,02,Buenos Aires,-8,4.7,62
PASO,02,Buenos Aires,-7,2.2,63
PASO,02,Buenos Aires,-6,5.4,63
PASO,02,Buenos Aires,-5,6.5,63
PASO,02,Buenos Aires,-4,5.5,63
PASO,02,Buenos Aires,-3,5.2,63
PASO,02,Buenos Aires,-2,4.6,63
PASO,02,Buenos Aires,-1,2.7,63
PASO,02,Buenos Aires,0,1.6,63
PASO,02,Buenos Aires,1,3.8,63
PASO,02,Buenos Aires,2,5.2,63
PASO,02,Buenos Aires,3,4.2,63
PASO,02,Buenos Aires,4,5.0,64
PASO,02,Buenos Aires,5,3.8,64
PASO,02,Buenos Aires,6,2.6,64
PASO,02,Buenos Aires,7,1.0,64
PASO,02,Buenos Aires,8,3.9,64
PASO,02,Buenos Aires,9,3.8,64
PASO,02,Buenos Aires,10,3.5,64
PASO,02,Buenos Aires,11,3.1,65
PASO,02,Buenos Aires,12,3.6,65
PASO,02,Buenos Aires,13,3.1,65
PASO,02,Buenos Aires,14,1.1,65
PASO,02,Buenos Aires,15,2.5,65
PASO,03,Catamarca,-15,16.5,69
PASO,03,Catamarca,-14,24.6,69
PASO,03,Catamarca,-13,26.3,69
PASO,03,Catamarca,-12,51.8,69
PASO,03,Catamarca,-11,64.0,70
PASO,03,Catamarca,-10,61.1,70
PASO,03,Catamarca,-9,53.0,70
PASO,03,Catamarca,-8,7.6,70
PASO,03,Catamarca,-7,21.7,70
PASO,03,Catamarca,-6,18.9,70
PASO,03,Catamarca,-5,28.2,70
PASO,03,Catamarca,-4,47.5,71
PASO,03,Catamarca,-3,77.6,71
PASO,03,Catamarca,-2,35.8,71
PASO,03,Catamarca,-1,6.9,71
PASO,03,Catamarca,0,5.5,71
PASO,03,Catamarca,1,17.4,71
PASO,03,Catamarca,2,28.9,71
PASO,03,Catamarca,3,27.0,71
PASO,03,Catamarca,4,14.8,71
PASO,03,Catamarca,5,15.5,72
PASO,03,Catamarca,6,6.4,72
PASO,03,Catamarca,7,4.3,72
PASO,03,Catamarca,8,13.1,72
PASO,03,Catamarca,9,9.5,72
PASO,03,Catamarca,10,23.9,72
PASO,03,Catamarca,11,13.6,72
PASO,03,Catamarca,12,13.6,72
PASO,03,Catamarca,13,12.1,72
PASO,03,Catamarca,14,3.1,72
PASO,03,Catamarca,15,7.4,72
PASO,04,Córdoba,-15,14.8,62
PASO,04,Córdoba,-14,5.3,62
