fecha,vacunadostot100,iddistrito,distrito
2021-08-28,62,2,Buenos Aires
2021-08-28,72,1,CABA
2021-08-28,69,3,Catamarca
2021-08-28,58,6,Chaco
2021-08-28,56,7,Chubut
2021-08-28,62,4,Córdoba
2021-08-28,62,5,Corrientes
2021-08-28,61,8,Entre Ríos
2021-08-28,68,9,Formosa
2021-08-28,63,10,Jujuy
2021-08-28,64,11,La Pampa
2021-08-28,66,12,La Rioja
2021-08-28,61,13,Mendoza
2021-08-28,51,14,Misiones
2021-08-28,67,15,Neuquén
2021-08-28,64,16,Río Negro
2021-08-28,66,22,S del Estero
2021-08-28,55,17,Salta
2021-08-28,62,18,San Juan
2021-08-28,63,19,San Luis
2021-08-28,53,20,Santa Cruz
2021-08-28,65,21,Santa Fe
2021-08-28,61,23,T del Fuego
2021-08-28,58,24,Tucumán
2021-08-29,62,2,Buenos Aires
2021-08-29,72,1,CABA
2021-08-29,69,3,Catamarca
2021-08-29,58,6,Chaco
2021-08-29,56,7,Chubut
2021-08-29,62,4,Córdoba
2021-08-29,62,5,Corrientes
2021-08-29,61,8,Entre Ríos
2021-08-29,68,9,Formosa
2021-08-29,63,10,Jujuy
2021-08-29,65,11,La Pampa
2021-08-29,66,12,La Rioja
2021-08-29,61,13,Mendoza
2021-08-29,51,14,Misiones
2021-08-29,67,15,Neuquén
2021-08-29,64,16,Río Negro
2021-08-29,66,22,S del Estero
2021-08-29,55,17,Salta
2021-08-29,62,18,San Juan
2021-08-29,63,19,San Luis
2021-08-29,53,20,Santa Cruz
2021-08-29,65,21,Santa Fe
2021-08-29,61,23,T del Fuego
2021-08-29,58,24,Tucumán
2021-08-30,62,2,Buenos Aires
2021-08-30,72,1,CABA
2021-08-30,69,3,Catamarca
2021-08-30,58,6,Chaco
2021-08-30,56,7,Chubut
2021-08-30,63,4,Córdoba
2021-08-30,62,5,Corrientes
2021-08-30,61,8,Entre Ríos
2021-08-30,68,9,Formosa
2021-08-30,63,10,Jujuy
2021-08-30,65,11,La Pampa
2021-08-30,66,12,La Rioja
2021-08-30,61,13,Mendoza
2021-08-30,51,14,Misiones
2021-08-30,67,15,Neuquén
2021-08-30,64,16,Río Negro
2021-08-30,66,22,S del Estero
2021-08-30,55,17,Salta
2021-08-30,62,18,San Juan
2021-08-30,63,19,San Luis
2021-08-30,53,20,Santa Cruz
2021-08-30,65,21,Santa Fe
2021-08-30,62,23,T del Fuego
2021-08-30,59,24,Tucumán
2021-08-31,62,2,Buenos Aires
2021-08-31,73,1,CABA
2021-08-31,69,3,Catamarca
2021-08-31,58,6,Chaco
2021-08-31,57,7,Chubut
2021-08-31,63,4,Córdoba
2021-08-31,63,5,Corrientes
2021-08-31,61,8,Entre Ríos
2021-08-31,68,9,Formosa
2021-08-31,63,10,Jujuy
2021-08-31,66,11,La Pampa
2021-08-31,66,12,La Rioja
2021-08-31,61,13,Mendoza
2021-08-31,51,14,Misiones
2021-08-31,67,15,Neuquén
2021-08-31,64,16,Río Negro
2021-08-31,67,22,S del Estero
2021-08-31,55,17,Salta
2021-08-31,62,18,San Juan
2021-08-31,63,19,San Luis
2021-08-31,53,20,Santa Cruz
2021-08-31,66,21,Santa Fe
2021-08-31,62,23,T del Fuego
2021-08-31,59,24,Tucumán
2021-09-01,62,2,Buenos Aires
2021-09-01,73,1,CABA
2021-09-01,70,3,Catamarca
2021-09-01,59,6,Chaco
2021-09-01,57,7,Chubut
2021-09-01,63,4,Córdoba
2021-09-01,63,5,Corrientes
2021-09-01,62,8,Entre Ríos
2021-09-01,69,9,Formosa
2021-09-01,64,10,Jujuy
2021-09-01,66,11,La Pampa
2021-09-01,66,12,La Rioja
2021-09-01,61,13,Mendoza
2021-09-01,51,14,Misiones
2021-09-01,67,15,Neuquén
2021-09-01,64,16,Río Negro
2021-09-01,67,22,S del Estero
2021-09-01,55,17,Salta
2021-09-01,62,18,San Juan
2021-09-01,64,19,San Luis
2021-09-01,54,20,Santa Cruz
2021-09-01,66,21,Santa Fe
2021-09-01,62,23,T del Fuego
2021-09-01,59,24,Tucumán
2021-09-02,62,2,Buenos Aires
2021-09-02,73,1,CABA
2021-09-02,70,3,Catamarca
2021-09-02,59,6,Chaco
2021-09-02,57,7,Chubut
2021-09-02,64,4,Córdoba
2021-09-02,63,5,Corrientes
2021-09-02,62,8,Entre Ríos
2021-09-02,69,9,Formosa
2021-09-02,64,10,Jujuy
2021-09-02,66,11,La Pampa
2021-09-02,67,12,La Rioja
2021-09-02,61,13,Mendoza
2021-09-02,52,14,Misiones
2021-09-02,67,15,Neuquén
2021-09-02,64,16,Río Negro
2021-09-02,67,22,S del Estero
2021-09-02,56,17,Salta
2021-09-02,62,18,San Juan
2021-09-02,64,19,San Luis
2021-09-02,54,20,Santa Cruz
2021-09-02,66,21,Santa Fe
2021-09-02,62,23,T del Fuego
2021-09-02,59,24,Tucumán
2021-09-03,62,2,Buenos Aires
2021-09-03,73,1,CABA
2021-09-03,70,3,Catamarca
2021-09-03,59,6,Chaco
2021-09-03,57,7,Chubut
2021-09-03,64,4,Córdoba
2021-09-03,63,5,Corrientes
2021-09-03,62,8,Entre Ríos
2021-09-03,69,9,Formosa
2021-09-03,64,10,Jujuy
2021-09-03,66,11,La Pampa
2021-09-03,67,12,La Rioja
2021-09-03,61,13,Mendoza
2021-09-03,52,14,Misiones
2021-09-03,68,15,Neuquén
2021-09-03,65,16,Río Negro
2021-09-03,67,22,S del Estero
2021-09-03,56,17,Salta
2021-09-03,63,18,San Juan
2021-09-03,64,19,San Luis
2021-09-03,54,20,Santa Cruz
2021-09-03,66,21,Santa Fe
2021-09-03,63,23,T del Fuego
2021-09-03,59,24,Tucumán
2021-09-04,62,2,Buenos Aires
2021-09-04,73,1,CABA
2021-09-04,70,3,Catamarca
2021-09-04,59,6,Chaco
2021-09-04,57,7,Chubut
2021-09-04,64,4,Córdoba
2021-09-04,63,5,Corrientes
2021-09-04,62,8,Entre Ríos
2021-09-04,70,9,Formosa
2021-09-04,64,10,Jujuy
2021-09-04,66,11,La Pampa
2021-09-04,67,12,La Rioja
2021-09-04,61,13,Mendoza
2021-09-04,52,14,Misiones
2021-09-04,68,15,Neuquén
2021-09-04,65,16,Río Negro
2021-09-04,67,22,S del Estero
2021-09-04,56,17,Salta
2021-09-04,63,18,San Juan
2021-09-04,64,19,San Luis
2021-09-04,54,20,Santa Cruz
2021-09-04,66,21,Santa Fe
2021-09-04,63,23,T del Fuego
2021-09-04,59,24,Tucumán
2021-09-05,63,2,Buenos Aires
2021-09-05,73,1,CABA
2021-09-05,70,3,Catamarca
2021-09-05,59,6,Chaco
2021-09-05,57,7,Chubut
2021-09-05,64,4,Córdoba
2021-09-05,63,5,Corrientes
2021-09-05,62,8,Entre Ríos
2021-09-05,70,9,Formosa
2021-09-05,64,10,Jujuy
2021-09-05,66,11,La Pampa
2021-09-05,67,12,La Rioja
2021-09-05,61,13,Mendoza
2021-09-05,52,14,Misiones
2021-09-05,68,15,Neuquén
2021-09-05,65,16,Río Negro
2021-09-05,67,22,S del Estero
2021-09-05,56,17,Salta
2021-09-05,63,18,San Juan
2021-09-05,64,19,San Luis
2021-09-05,54,20,Santa Cruz
2021-09-05,66,21,Santa Fe
2021-09-05,63,23,T del Fuego
2021-09-05,59,24,Tucumán
2021-09-06,63,2,Buenos Aires
2021-09-06,73,1,CABA
2021-09-06,70,3,Catamarca
2021-09-06,59,6,Chaco
2021-09-06,58,7,Chubut
2021-09-06,64,4,Córdoba
2021-09-06,63,5,Corrientes
2021-09-06,63,8,Entre Ríos
2021-09-06,70,9,Formosa
2021-09-06,64,10,Jujuy
2021-09-06,66,11,La Pampa
2021-09-06,67,12,La Rioja
2021-09-06,61,13,Mendoza
2021-09-06,52,14,Misiones
2021-09-06,68,15,Neuquén
2021-09-06,65,16,Río Negro
2021-09-06,67,22,S del Estero
2021-09-06,56,17,Salta
2021-09-06,63,18,San Juan
2021-09-06,64,19,San Luis
2021-09-06,54,20,Santa Cruz
2021-09-06,67,21,Santa Fe
2021-09-06,63,23,T del Fuego
2021-09-06,59,24,Tucumán
2021-09-07,63,2,Buenos Aires
2021-09-07,73,1,CABA
2021-09-07,70,3,Catamarca
2021-09-07,59,6,Chaco
2021-09-07,58,7,Chubut
2021-09-07,64,4,Córdoba
2021-09-07,64,5,Corrientes
2021-09-07,63,8,Entre Ríos
2021-09-07,70,9,Formosa
2021-09-07,64,10,Jujuy
2021-09-07,66,11,La Pampa
2021-09-07,67,12,La Rioja
2021-09-07,61,13,Mendoza
2021-09-07,52,14,Misiones
2021-09-07,68,15,Neuquén
2021-09-07,65,16,Río Negro
2021-09-07,67,22,S del Estero
2021-09-07,56,17,Salta
2021-09-07,63,18,San Juan
2021-09-07,64,19,San Luis
2021-09-07,54,20,Santa Cruz
2021-09-07,67,21,Santa Fe
2021-09-07,63,23,T del Fuego
2021-09-07,60,24,Tucumán
2021-09-08,63,2,Buenos Aires
2021-09-08,73,1,CABA
2021-09-08,71,3,Catamarca
2021-09-08,59,6,Chaco
2021-09-08,58,7,Chubut
2021-09-08,64,4,Córdoba
2021-09-08,64,5,Corrientes
2021-09-08,63,8,Entre Ríos
2021-09-08,70,9,Formosa
2021-09-08,64,10,Jujuy
2021-09-08,66,11,La Pampa
2021-09-08,67,12,La Rioja
2021-09-08,62,13,Mendoza
2021-09-08,52,14,Misiones
2021-09-08,68,15,Neuquén
2021-09-08,65,16,Río Negro
2021-09-08,67,22,S del Estero
2021-09-08,56,17,Salta
2021-09-08,63,18,San Juan
2021-09-08,64,19,San Luis
2021-09-08,54,20,Santa Cruz
2021-09-08,67,21,Santa Fe
2021-09-08,64,23,T del Fuego
2021-09-08,60,24,Tucumán
2021-09-09,63,2,Buenos Aires
2021-09-09,73,1,CABA
2021-09-09,71,3,Catamarca
2021-09-09,60,6,Chaco
