fecha_aplicacion,jurisdiccion_aplicacion_id,aplicadas,csumaplicadas,labeldistrito
2020-12-29,2,775,775,CABA
2020-12-29,6,1818,1818,Buenos Aires
2020-12-29,10,305,305,Catamarca
2020-12-29,14,2830,2830,Cordoba
2020-12-29,18,347,347,Corrientes
2020-12-29,22,788,788,Chaco
2020-12-29,26,231,231,Chubut
2020-12-29,30,501,501,Entre Rios
2020-12-29,34,1307,1307,Formosa
2020-12-29,38,496,496,Jujuy
2020-12-29,42,432,432,La Pampa
2020-12-29,46,712,712,La Rioja
2020-12-29,50,230,230,Mendoza
2020-12-29,54,912,912,Misiones
2020-12-29,58,1244,1244,Neuquen
2020-12-29,62,852,852,Rio Negro
2020-12-29,66,1272,1272,Salta
2020-12-29,70,529,529,San Juan
2020-12-29,74,1121,1121,San Luis
2020-12-29,78,219,219,Santa Cruz
2020-12-29,82,1075,1075,Santa Fe
2020-12-29,86,338,338,S del Estero
2020-12-29,90,2136,2136,Tucuman
2020-12-29,94,50,50,T del Fuego
2020-12-30,2,960,1735,CABA
2020-12-30,6,3111,4929,Buenos Aires
2020-12-30,10,341,646,Catamarca
2020-12-30,14,3492,6322,Cordoba
2020-12-30,18,574,921,Corrientes
2020-12-30,22,703,1491,Chaco
2020-12-30,26,209,440,Chubut
2020-12-30,30,242,743,Entre Rios
2020-12-30,34,497,1804,Formosa
2020-12-30,38,575,1071,Jujuy
2020-12-30,42,345,777,La Pampa
2020-12-30,46,516,1228,La Rioja
2020-12-30,50,423,653,Mendoza
2020-12-30,54,693,1605,Misiones
2020-12-30,58,591,1835,Neuquen
2020-12-30,62,805,1657,Rio Negro
2020-12-30,66,1178,2450,Salta
2020-12-30,70,578,1107,San Juan
2020-12-30,74,689,1810,San Luis
2020-12-30,78,332,551,Santa Cruz
2020-12-30,82,1054,2129,Santa Fe
2020-12-30,86,632,970,S del Estero
2020-12-30,90,1501,3637,Tucuman
2020-12-30,94,82,132,T del Fuego
2020-12-31,2,97,1832,CABA
2020-12-31,6,61,4990,Buenos Aires
2020-12-31,14,759,7081,Cordoba
2020-12-31,18,105,1026,Corrientes
2020-12-31,22,155,1646,Chaco
2020-12-31,26,82,522,Chubut
2020-12-31,30,29,772,Entre Rios
2020-12-31,38,255,1326,Jujuy
2020-12-31,46,48,1276,La Rioja
2020-12-31,50,20,673,Mendoza
2020-12-31,54,190,1795,Misiones
2020-12-31,62,1,1658,Rio Negro
2020-12-31,66,151,2601,Salta
2020-12-31,70,115,1222,San Juan
2020-12-31,78,104,655,Santa Cruz
2020-12-31,82,185,2314,Santa Fe
2020-12-31,86,121,1091,S del Estero
2020-12-31,90,333,3970,Tucuman
2021-01-01,6,6,4996,Buenos Aires
2021-01-01,14,13,7094,Cordoba
2021-01-01,18,5,1031,Corrientes
2021-01-01,22,6,1652,Chaco
2021-01-01,30,1,773,Entre Rios
2021-01-01,34,4,1808,Formosa
2021-01-01,46,1,1277,La Rioja
2021-01-01,50,4,677,Mendoza
2021-01-01,54,1,1796,Misiones
2021-01-01,58,1,1836,Neuquen
2021-01-01,66,15,2616,Salta
2021-01-01,78,70,725,Santa Cruz
2021-01-02,2,429,2261,CABA
2021-01-02,6,76,5072,Buenos Aires
2021-01-02,14,786,7880,Cordoba
2021-01-02,18,147,1178,Corrientes
2021-01-02,22,312,1964,Chaco
2021-01-02,26,24,546,Chubut
2021-01-02,30,1,774,Entre Rios
2021-01-02,38,686,2012,Jujuy
2021-01-02,42,45,822,La Pampa
2021-01-02,46,28,1305,La Rioja
2021-01-02,50,46,723,Mendoza
2021-01-02,54,41,1837,Misiones
2021-01-02,62,75,1733,Rio Negro
2021-01-02,66,335,2951,Salta
2021-01-02,82,81,2395,Santa Fe
2021-01-02,86,202,1293,S del Estero
2021-01-03,2,170,2431,CABA
2021-01-03,6,10,5082,Buenos Aires
2021-01-03,10,12,658,Catamarca
2021-01-03,14,1,7881,Cordoba
2021-01-03,18,3,1181,Corrientes
2021-01-03,22,21,1985,Chaco
2021-01-03,26,25,571,Chubut
2021-01-03,30,2,776,Entre Rios
2021-01-03,50,1,724,Mendoza
2021-01-03,54,1,1838,Misiones
2021-01-03,66,10,2961,Salta
2021-01-03,78,97,822,Santa Cruz
2021-01-03,82,13,2408,Santa Fe
2021-01-03,86,75,1368,S del Estero
2021-01-04,2,967,3398,CABA
2021-01-04,6,2904,7986,Buenos Aires
2021-01-04,10,277,935,Catamarca
2021-01-04,14,1404,9285,Cordoba
2021-01-04,18,382,1563,Corrientes
2021-01-04,22,454,2439,Chaco
2021-01-04,26,193,764,Chubut
2021-01-04,30,128,904,Entre Rios
2021-01-04,38,190,2202,Jujuy
2021-01-04,42,151,973,La Pampa
2021-01-04,46,111,1416,La Rioja
2021-01-04,50,477,1201,Mendoza
2021-01-04,54,109,1947,Misiones
2021-01-04,62,284,2017,Rio Negro
2021-01-04,66,329,3290,Salta
2021-01-04,70,118,1340,San Juan
2021-01-04,78,86,908,Santa Cruz
2021-01-04,82,1086,3494,Santa Fe
2021-01-04,86,389,1757,S del Estero
2021-01-04,90,323,4293,Tucuman
2021-01-04,94,106,238,T del Fuego
2021-01-05,2,1352,4750,CABA
